Date,Suhu_Rata_rata,Kelembaban_Rata_rata,Curah_Hujan,Kecepatan_Angin_Rata_rata
2013-01-01,26.5,91,29,4
2013-01-02,26.3,91,77,4
2013-01-03,27.4,85,12,4
2013-01-04,28.5,84,13,3
2013-01-05,26.6,90,37,2
2013-01-06,27.2,86,28,3
2013-01-07,26.9,86,2,7
2013-01-08,26.5,87,56,10
2013-01-09,27.1,80,18,13
2013-01-10,28.1,78,2,8
2013-01-11,28.7,79,1,4
2013-01-12,28.7,81,1,3
2013-01-13,27.9,79,0,2
2013-01-14,27.9,84,0,3
2013-01-15,26.9,86,103,3
2013-01-16,26.8,88,10,3
2013-01-17,27.9,82,3,4
2013-01-18,27.6,86,0,5
2013-01-19,27.6,84,21,5
2013-01-20,27.3,82,14,6
2013-01-21,28.7,79,18,7
2013-01-22,28.7,79,2,6
2013-01-23,27.7,84,1,5
2013-01-24,27.8,82,10,4
2013-01-25,26,86,36,4
2013-01-26,27.4,84,6,4
2013-01-27,28.1,82,6,4
2013-01-28,27.5,87,18,3
2013-01-29,28.2,83,11,5
2013-01-30,27.8,86,59,4
2013-01-31,27.6,84,70,3
2013-02-01,26.5,87,7,2
2013-02-02,27,86,16,2
2013-02-03,27.5,84,1,3
2013-02-04,28,76,0,3
2013-02-05,27.9,80,0,2
2013-02-06,28.3,77,0,2
2013-02-07,28.1,80,0,2
2013-02-08,28.3,81,0,3
2013-02-09,28.3,74,0,2
2013-02-10,28.6,77,0,2
2013-02-11,28,77,0,3
2013-02-12,28,77,0,2
2013-02-13,27.5,79,0,2
2013-02-14,27.3,84,14,2
2013-02-15,28.4,79,0,3
2013-02-16,27.9,84,0,2
2013-02-17,28.3,78,1,4
2013-02-18,27.1,85,19,2
2013-02-19,27.8,80,0,2
2013-02-20,25,90,30,5
2013-02-21,26.2,86,24,4
2013-02-22,28,80,13,3
2013-02-23,28.6,81,12,4
2013-02-24,27.9,84,12,6
2013-02-25,29.7,73,7,9
2013-02-26,29.4,78,0,9
2013-02-27,29.5,75,8,9
2013-02-28,28.8,78,7,6
2013-03-01,28.7,78,0,2
2013-03-02,28.1,84,0,2
2013-03-03,27.9,85,0,3
2013-03-04,28.2,84,5,5
2013-03-05,28.5,79,8888,9
2013-03-06,27,83,27,7
2013-03-07,27.4,82,8888,3
2013-03-08,27.4,86,11,2
2013-03-09,28.2,82,5,3
2013-03-10,28.2,80,1,3
2013-03-11,27.7,76,0,3
2013-03-12,27.9,82,2,3
2013-03-13,28,79,4,3
2013-03-14,26.8,81,0,3
2013-03-15,26.2,86,3,3
2013-03-16,26,88,40,2
2013-03-17,27,85,5,2
2013-03-18,27.7,83,1,2
2013-03-19,27.3,86,0,3
2013-03-20,28.2,82,1,2
2013-03-21,28.5,79,0,2
2013-03-22,28.5,82,0,3
2013-03-23,28.6,79,8888,3
2013-03-24,28.1,80,0,3
2013-03-25,27.4,77,1,2
2013-03-26,27.5,82,0,2
2013-03-27,28.6,76,0,2
2013-03-28,27.6,80,0,2
2013-03-29,28.2,80,12,2
2013-03-30,27.7,85,0,2
2013-03-31,27.5,82,0,2
2013-04-01,28.2,78,4,2
2013-04-02,28.1,81,0,2
2013-04-03,28.3,81,0,2
2013-04-04,28.5,78,0,2
2013-04-05,29.1,78,0,3
2013-04-06,29,78,0,3
2013-04-07,28.4,83,0,3
2013-04-08,27.4,86,2,3
2013-04-09,27.2,85,40,2
2013-04-10,28,84,0,3
2013-04-11,26.3,90,1,3
2013-04-12,27.9,86,13,3
2013-04-13,27.5,84,0,2
2013-04-14,27.8,84,2,3
2013-04-15,28.4,84,0,4
2013-04-16,28.4,78,0,4
2013-04-17,28.3,81,0,4
2013-04-18,28.2,81,0,3
2013-04-19,27.4,81,8888,3
2013-04-20,27.2,85,3,3
2013-04-21,27.7,78,0,3
2013-04-22,27.7,80,0,3
2013-04-23,28.7,86,7,4
2013-04-24,28.5,79,0,3
2013-04-25,27.2,73,0,3
2013-04-26,27.9,76,0,3
2013-04-27,26.8,76,0,3
2013-04-28,27.3,79,0,3
2013-04-29,27.5,84,0,4
